Buyer_ID,Region,Country,Tier,Credit_Limit_USD,First_Order_Date,Payment_Terms_Days,Primary_Contact_Role,Years_as_Customer
BUYER_001,EU_Western,Spain,A,1144167,2021-01-01,45,Merchandiser,4.0
BUYER_002,North_America,Mexico,B,325203,2021-02-07,60,Procurement_Manager,3.9
BUYER_003,South_Korea,South_Korea,C,97969,2022-05-25,90,Procurement_Manager,2.6
BUYER_004,EU_Western,Spain,B,306730,2021-07-10,30,Sourcing_Specialist,3.48
BUYER_005,South_Korea,South_Korea,B,279981,2021-01-15,45,Sourcing_Specialist,3.96
BUYER_006,UK,UK,B,423538,2021-08-05,45,Procurement_Manager,3.41
BUYER_007,EU_Eastern,Czech_Republic,C,138859,2022-11-19,60,Procurement_Manager,2.12
BUYER_008,North_America,Canada,B,304555,2021-09-04,45,Sourcing_Specialist,3.32
BUYER_009,North_America,Canada,B,350551,2021-11-10,45,Merchandiser,3.14
BUYER_010,EU_Western,Italy,A,938974,2021-10-27,60,Merchandiser,3.18
BUYER_011,EU_Eastern,Czech_Republic,C,41534,2021-09-03,45,Sourcing_Specialist,3.33
BUYER_012,North_America,USA,B,232798,2022-10-11,45,Procurement_Manager,2.22
BUYER_013,EU_Western,Italy,B,188044,2022-11-18,30,Procurement_Manager,2.12
BUYER_014,South_Korea,South_Korea,C,97563,2021-02-23,30,Buying_Director,3.85
BUYER_015,North_America,Mexico,C,42666,2021-07-31,45,Procurement_Manager,3.42
BUYER_016,South_Korea,South_Korea,C,108603,2022-10-31,30,Buying_Director,2.17
BUYER_017,Australia,Australia,B,423109,2021-06-04,45,Procurement_Manager,3.58
BUYER_018,South_Korea,South_Korea,C,112948,2022-04-29,30,Merchandiser,2.67
BUYER_019,UK,UK,B,368126,2021-05-28,45,Buying_Director,3.59
BUYER_020,North_America,Mexico,B,335340,2022-08-29,60,Procurement_Manager,2.34
BUYER_021,EU_Western,Spain,B,400396,2022-10-28,90,Buying_Director,2.18
BUYER_022,EU_Western,Italy,C,94044,2021-05-08,45,Merchandiser,3.65
BUYER_023,EU_Eastern,Czech_Republic,C,48047,2021-07-15,30,Procurement_Manager,3.46
BUYER_024,EU_Western,Germany,B,287848,2021-03-15,45,Buying_Director,3.8
BUYER_025,North_America,Mexico,B,415892,2022-04-22,30,Sourcing_Specialist,2.69
BUYER_026,EU_Western,Netherlands,B,218840,2021-01-10,45,Procurement_Manager,3.97
BUYER_027,EU_Western,Italy,B,391025,2021-11-11,45,Procurement_Manager,3.14
BUYER_028,South_Korea,South_Korea,B,375281,2021-03-01,45,Buying_Director,3.84
BUYER_029,EU_Western,Germany,B,327789,2022-07-26,45,Merchandiser,2.43
BUYER_030,South_Korea,South_Korea,B,220467,2021-09-20,60,Buying_Director,3.28
BUYER_031,EU_Western,Spain,B,239045,2021-07-10,30,Procurement_Manager,3.48
BUYER_032,North_America,Mexico,A,515708,2021-02-11,45,Sourcing_Specialist,3.89
BUYER_033,North_America,Mexico,C,41411,2020-12-22,30,Procurement_Manager,4.02
BUYER_034,EU_Eastern,Romania,C,67504,2021-08-17,30,Buying_Director,3.37
BUYER_035,Japan,Japan,B,458987,2022-07-12,60,Procurement_Manager,2.47
BUYER_036,UK,UK,B,312688,2022-02-02,90,Procurement_Manager,2.91
BUYER_037,Japan,Japan,B,324088,2022-04-14,45,Sourcing_Specialist,2.72
BUYER_038,Japan,Japan,C,89040,2021-03-15,30,Sourcing_Specialist,3.8
BUYER_039,Middle_East,Saudi_Arabia,A,1157917,2021-08-17,60,Procurement_Manager,3.37
BUYER_040,EU_Western,France,B,407186,2020-12-13,90,Sourcing_Specialist,4.05
BUYER_041,Middle_East,UAE,B,285059,2021-07-17,45,Buying_Director,3.46
BUYER_042,Middle_East,UAE,B,257450,2021-08-20,30,Merchandiser,3.36
BUYER_043,UK,UK,C,104290,2021-09-21,90,Buying_Director,3.28
BUYER_044,Middle_East,Saudi_Arabia,B,286672,2021-09-06,30,Sourcing_Specialist,3.32
BUYER_045,EU_Western,Netherlands,C,135983,2022-11-16,90,Merchandiser,2.12
