Fabric_Type,Category,Primary_Seasons,Base_Price_Per_Kg_USD,Min_Order_Qty_Kg,Avg_Production_Days,Is_Backward_Linked,Quality_Grade
Cotton_Plain,Woven,"Spring, Summer, Autumn",7.82,500,20,Yes,Premium
Cotton_Twill,Woven,"Spring, Autumn, Winter",7.71,500,28,No,Economy
Cotton_Denim,Woven,Year_Round,9.41,2000,43,Yes,Economy
Polyester_Plain,Woven,Year_Round,3.95,5000,32,No,Economy
Polyester_Twill,Woven,"Spring, Autumn",5.09,5000,28,Yes,Standard
Polyester_Satin,Woven,"Summer, Autumn",5.97,1000,41,Yes,Standard
Cotton_Polyester_Blend,Woven,"Spring, Summer, Autumn, Winter",7.39,500,25,No,Standard
Viscose_Rayon,Woven,"Summer, Spring",8.48,1000,17,Yes,Standard
Linen,Woven,"Summer, Spring",12.49,2000,39,No,Premium
Silk_Blend,Woven,"Summer, Autumn",18.71,1000,30,Yes,Economy
Terry_Cloth,Knit,"Summer, Spring",5.14,1000,16,Yes,Standard
Fleece,Knit,"Winter, Autumn",8.36,2000,39,Yes,Premium
