Campaign_ID,Campaign_Name,Channel,Start_Date,End_Date,Duration_Days,Spend_USD,Leads_Generated,Conversions,Conversion_Rate,Cost_Per_Lead,Cost_Per_Conversion,Year,Quarter
CAMP_001,Referral Q1-2023,Referral,2023-01-01,2023-02-13,43,2122,42,2,0.048,50.52,1061.0,2023,Q1
CAMP_002,Website Inquiry Q1-2023,Website_Inquiry,2023-01-01,2023-03-21,79,19834,367,21,0.057,54.04,944.48,2023,Q1
CAMP_003,Referral Q1-2023,Referral,2023-01-01,2023-02-16,46,3045,52,5,0.096,58.56,609.0,2023,Q1
CAMP_004,LinkedIn Outreach Q2-2023,LinkedIn_Outreach,2023-04-01,2023-05-20,49,3062,54,9,0.167,56.7,340.22,2023,Q2
CAMP_005,Website Inquiry Q2-2023,Website_Inquiry,2023-04-01,2023-06-06,66,17685,593,50,0.084,29.82,353.7,2023,Q2
CAMP_006,Referral Q3-2023,Referral,2023-07-01,2023-08-08,38,4893,75,6,0.08,65.24,815.5,2023,Q3
CAMP_007,Trade Show Q3-2023,Trade_Show,2023-08-01,2023-09-16,46,35200,100,13,0.13,352.0,2707.69,2023,Q3
CAMP_008,Email Campaign Q4-2023,Email_Campaign,2023-11-01,2023-12-27,56,6702,452,47,0.104,14.83,142.6,2023,Q4
CAMP_009,Cold Call Q4-2023,Cold_Call,2023-11-01,2023-12-11,40,9519,147,12,0.082,64.76,793.25,2023,Q4
CAMP_010,Email Campaign Q1-2024,Email_Campaign,2024-01-01,2024-02-25,55,6089,244,55,0.225,24.95,110.71,2024,Q1
CAMP_011,Email Campaign Q1-2024,Email_Campaign,2024-02-01,2024-03-22,50,7234,274,21,0.077,26.4,344.48,2024,Q1
CAMP_012,Website Inquiry Q2-2024,Website_Inquiry,2024-04-01,2024-05-01,30,9689,401,77,0.192,24.16,125.83,2024,Q2
CAMP_013,Trade Show Q2-2024,Trade_Show,2024-04-01,2024-06-18,78,27871,86,5,0.058,324.08,5574.2,2024,Q2
CAMP_014,Email Campaign Q2-2024,Email_Campaign,2024-05-01,2024-05-02,1,7663,354,74,0.209,21.65,103.55,2024,Q2
CAMP_015,Email Campaign Q3-2024,Email_Campaign,2024-07-01,2024-09-16,77,4576,356,77,0.216,12.85,59.43,2024,Q3
CAMP_016,Trade Show Q3-2024,Trade_Show,2024-08-01,2024-09-01,31,27154,89,17,0.191,305.1,1597.29,2024,Q3
CAMP_017,Trade Show Q3-2024,Trade_Show,2024-08-01,2024-08-09,8,20141,105,23,0.219,191.82,875.7,2024,Q3
CAMP_018,Cold Call Q4-2024,Cold_Call,2024-11-01,2024-12-27,56,12058,295,43,0.146,40.87,280.42,2024,Q4
CAMP_019,Referral Q4-2024,Referral,2024-10-01,2024-12-27,87,2464,40,8,0.2,61.6,308.0,2024,Q4
CAMP_020,LinkedIn Outreach Q4-2024,LinkedIn_Outreach,2024-10-01,2024-12-20,80,8492,56,12,0.214,151.64,707.67,2024,Q4
