Order_ID,Order_Date,Buyer_ID,Fabric_Type,Category,Quantity_Kg,Unit_Price_USD,Total_Value_USD,Order_Status,Production_Days,Shipping_Days,Actual_Lead_Days,Payment_Terms_Days,Season,Year,Month,Quarter
ORD_00001,2023-01-01,BUYER_035,Cotton_Twill,Woven,3141,8.45,26543.77,Completed,28,24,56,60,Winter,2023,1,Q1
ORD_00002,2023-01-01,BUYER_006,Viscose_Rayon,Woven,2625,8.22,21584.17,Completed,17,34,50,45,Summer,2023,1,Q1
ORD_00003,2023-01-01,BUYER_044,Cotton_Denim,Woven,4294,9.08,38974.75,Completed,43,25,64,30,Autumn,2023,1,Q1
ORD_00004,2023-01-02,BUYER_037,Cotton_Denim,Woven,2852,8.91,25420.91,Shipped,43,26,68,45,Winter,2023,1,Q1
ORD_00005,2023-01-02,BUYER_038,Fleece,Knit,2302,8.54,19665.14,In_Production,39,25,59,30,Spring,2023,1,Q1
ORD_00006,2023-01-05,BUYER_012,Cotton_Plain,Woven,2358,8.17,19254.39,Completed,20,30,45,45,Winter,2023,1,Q1
ORD_00007,2023-01-06,BUYER_025,Cotton_Polyester_Blend,Woven,5720,7.98,45620.3,Completed,25,32,57,30,Summer,2023,1,Q1
ORD_00008,2023-01-06,BUYER_011,Linen,Woven,2824,11.72,33086.52,Completed,39,40,87,45,Summer,2023,1,Q1
ORD_00009,2023-01-06,BUYER_016,Silk_Blend,Woven,2719,18.42,50085.63,Completed,30,29,58,30,Spring,2023,1,Q1
ORD_00010,2023-01-06,BUYER_018,Polyester_Satin,Woven,2470,5.92,14611.85,Completed,41,24,63,30,Autumn,2023,1,Q1
ORD_00011,2023-01-06,BUYER_007,Polyester_Twill,Woven,5000,5.08,25382.02,Completed,28,41,67,60,Winter,2023,1,Q1
ORD_00012,2023-01-07,BUYER_012,Cotton_Denim,Woven,4701,10.17,47794.7,Completed,43,31,69,45,Winter,2023,1,Q1
ORD_00013,2023-01-07,BUYER_009,Polyester_Plain,Woven,5000,4.28,21392.94,Cancelled,32,32,72,45,Autumn,2023,1,Q1
ORD_00014,2023-01-07,BUYER_017,Silk_Blend,Woven,2304,17.69,40758.53,Shipped,30,33,67,45,Summer,2023,1,Q1
ORD_00015,2023-01-08,BUYER_030,Silk_Blend,Woven,2762,20.72,57241.07,In_Production,30,25,51,60,Spring,2023,1,Q1
ORD_00016,2023-01-08,BUYER_013,Polyester_Plain,Woven,5000,4.05,20265.85,Completed,32,35,68,30,Spring,2023,1,Q1
ORD_00017,2023-01-08,BUYER_022,Cotton_Denim,Woven,2000,9.71,19414.84,Completed,43,38,83,45,Summer,2023,1,Q1
ORD_00018,2023-01-09,BUYER_026,Silk_Blend,Woven,4160,19.47,80974.55,Completed,30,33,65,45,Autumn,2023,1,Q1
ORD_00019,2023-01-09,BUYER_004,Polyester_Plain,Woven,5286,4.03,21311.05,Shipped,32,37,73,30,Spring,2023,1,Q1
ORD_00020,2023-01-09,BUYER_011,Viscose_Rayon,Woven,1203,8.83,10623.85,Completed,17,49,73,45,Winter,2023,1,Q1
ORD_00021,2023-01-09,BUYER_010,Terry_Cloth,Knit,4255,5.1,21715.26,Completed,16,37,52,60,Winter,2023,1,Q1
ORD_00022,2023-01-09,BUYER_033,Polyester_Twill,Woven,5000,5.39,26944.7,Completed,28,37,63,30,Summer,2023,1,Q1
ORD_00023,2023-01-10,BUYER_001,Linen,Woven,2661,12.41,33024.99,Completed,39,36,79,45,Autumn,2023,1,Q1
ORD_00024,2023-01-11,BUYER_029,Fleece,Knit,5476,8.44,46229.55,Completed,39,26,66,45,Summer,2023,1,Q1
ORD_00025,2023-01-12,BUYER_032,Cotton_Twill,Woven,3229,8.01,25860.85,Completed,28,35,68,45,Summer,2023,1,Q1
ORD_00026,2023-01-12,BUYER_024,Fleece,Knit,4828,8.79,42414.65,Shipped,39,37,76,45,Summer,2023,1,Q1
ORD_00027,2023-01-12,BUYER_040,Cotton_Plain,Woven,3545,8.25,29249.07,Shipped,20,35,56,90,Winter,2023,1,Q1
ORD_00028,2023-01-13,BUYER_003,Fleece,Knit,2000,7.96,15911.39,Shipped,39,22,56,90,Summer,2023,1,Q1
ORD_00029,2023-01-13,BUYER_042,Silk_Blend,Woven,3601,20.79,74872.67,Completed,30,19,44,30,Winter,2023,1,Q1
ORD_00030,2023-01-13,BUYER_011,Silk_Blend,Woven,1129,21.36,24110.71,Completed,30,49,79,45,Summer,2023,1,Q1
ORD_00031,2023-01-13,BUYER_031,Silk_Blend,Woven,5361,19.36,103808.97,Shipped,30,28,67,30,Summer,2023,1,Q1
ORD_00032,2023-01-15,BUYER_033,Viscose_Rayon,Woven,1000,8.61,8608.0,Completed,17,28,54,30,Summer,2023,1,Q1
ORD_00033,2023-01-15,BUYER_012,Linen,Woven,3444,11.52,39675.71,Completed,39,33,67,45,Summer,2023,1,Q1
ORD_00034,2023-01-16,BUYER_006,Cotton_Denim,Woven,3993,8.62,34413.86,Completed,43,33,79,45,Spring,2023,1,Q1
ORD_00035,2023-01-16,BUYER_020,Terry_Cloth,Knit,4868,5.23,25459.54,Completed,16,28,49,60,Summer,2023,1,Q1
ORD_00036,2023-01-16,BUYER_021,Polyester_Twill,Woven,5000,5.48,27419.16,Completed,28,39,68,90,Summer,2023,1,Q1
ORD_00037,2023-01-17,BUYER_011,Linen,Woven,2000,12.95,25899.07,Completed,39,35,72,45,Winter,2023,1,Q1
ORD_00038,2023-01-17,BUYER_012,Polyester_Twill,Woven,5000,4.59,22972.0,Completed,28,31,65,45,Summer,2023,1,Q1
ORD_00039,2023-01-17,BUYER_008,Polyester_Satin,Woven,4062,6.39,25940.75,Completed,41,36,81,45,Autumn,2023,1,Q1
ORD_00040,2023-01-17,BUYER_014,Cotton_Polyester_Blend,Woven,2283,7.75,17701.11,Completed,25,18,40,30,Summer,2023,1,Q1
ORD_00041,2023-01-17,BUYER_043,Cotton_Polyester_Blend,Woven,1652,7.75,12795.66,Completed,25,37,58,90,Winter,2023,1,Q1
ORD_00042,2023-01-17,BUYER_013,Polyester_Plain,Woven,5000,3.79,18971.57,Completed,32,27,61,30,Winter,2023,1,Q1
ORD_00043,2023-01-19,BUYER_037,Cotton_Twill,Woven,2531,7.98,20197.95,Completed,28,19,54,45,Winter,2023,1,Q1
ORD_00044,2023-01-19,BUYER_021,Linen,Woven,2896,12.0,34761.5,Completed,39,29,65,90,Summer,2023,1,Q1
ORD_00045,2023-01-20,BUYER_005,Silk_Blend,Woven,2800,19.62,54944.6,Shipped,30,19,46,45,Autumn,2023,1,Q1
ORD_00046,2023-01-20,BUYER_043,Polyester_Plain,Woven,5000,3.65,18257.91,Completed,32,27,57,90,Summer,2023,1,Q1
ORD_00047,2023-01-20,BUYER_014,Polyester_Twill,Woven,5000,5.43,27147.71,Completed,28,27,59,30,Winter,2023,1,Q1
ORD_00048,2023-01-21,BUYER_040,Cotton_Denim,Woven,2000,10.28,20568.14,Completed,43,34,73,90,Winter,2023,1,Q1
ORD_00049,2023-01-22,BUYER_043,Terry_Cloth,Knit,1194,5.02,5999.17,Completed,16,32,49,90,Autumn,2023,1,Q1
ORD_00050,2023-01-23,BUYER_043,Linen,Woven,2000,11.74,23477.34,Completed,39,30,74,90,Autumn,2023,1,Q1
ORD_00051,2023-01-23,BUYER_010,Cotton_Plain,Woven,11203,7.56,84648.02,Completed,20,28,55,60,Autumn,2023,1,Q1
ORD_00052,2023-01-23,BUYER_027,Polyester_Satin,Woven,5118,6.03,30869.13,Completed,41,32,79,45,Autumn,2023,1,Q1
ORD_00053,2023-01-23,BUYER_035,Terry_Cloth,Knit,1234,4.91,6061.68,Completed,16,24,39,60,Winter,2023,1,Q1
ORD_00054,2023-01-23,BUYER_018,Cotton_Twill,Woven,806,7.5,6045.93,Completed,28,23,53,30,Winter,2023,1,Q1
ORD_00055,2023-01-24,BUYER_002,Cotton_Denim,Woven,3052,9.34,28492.89,Completed,43,25,64,60,Summer,2023,1,Q1
ORD_00056,2023-01-25,BUYER_045,Viscose_Rayon,Woven,2672,9.64,25747.73,Completed,17,26,39,90,Autumn,2023,1,Q1
ORD_00057,2023-01-25,BUYER_038,Cotton_Twill,Woven,773,8.38,6480.71,Completed,28,16,42,30,Spring,2023,1,Q1
ORD_00058,2023-01-26,BUYER_018,Polyester_Satin,Woven,1000,6.47,6467.64,Completed,41,21,69,30,Spring,2023,1,Q1
ORD_00059,2023-01-27,BUYER_044,Cotton_Twill,Woven,3964,8.12,32201.68,Completed,28,17,43,30,Spring,2023,1,Q1
ORD_00060,2023-01-27,BUYER_008,Cotton_Twill,Woven,3240,7.59,24589.91,Completed,28,38,63,45,Autumn,2023,1,Q1
ORD_00061,2023-01-27,BUYER_042,Cotton_Polyester_Blend,Woven,4765,7.53,35888.7,Completed,25,20,52,30,Winter,2023,1,Q1
ORD_00062,2023-01-28,BUYER_032,Polyester_Plain,Woven,9519,4.02,38278.22,Completed,32,36,64,45,Spring,2023,1,Q1
ORD_00063,2023-01-30,BUYER_038,Cotton_Denim,Woven,2846,8.82,25094.67,Completed,43,17,68,30,Summer,2023,1,Q1
ORD_00064,2023-01-31,BUYER_016,Silk_Blend,Woven,1000,17.73,17730.84,Completed,30,19,44,30,Summer,2023,1,Q1
ORD_00065,2023-01-31,BUYER_015,Cotton_Twill,Woven,994,7.78,7734.61,Completed,28,29,53,45,Spring,2023,1,Q1
ORD_00066,2023-01-31,BUYER_020,Cotton_Denim,Woven,2000,10.53,21067.78,Completed,43,35,81,60,Autumn,2023,1,Q1
ORD_00067,2023-02-01,BUYER_036,Cotton_Plain,Woven,3890,8.31,32341.17,Completed,20,35,51,90,Summer,2023,2,Q1
ORD_00068,2023-02-01,BUYER_043,Terry_Cloth,Knit,1892,5.12,9695.77,Completed,16,30,43,90,Summer,2023,2,Q1
ORD_00069,2023-02-01,BUYER_042,Cotton_Twill,Woven,2114,8.5,17975.51,On_Hold,28,17,54,30,Autumn,2023,2,Q1
ORD_00070,2023-02-01,BUYER_025,Terry_Cloth,Knit,2037,4.83,9841.14,Completed,16,31,47,30,Summer,2023,2,Q1
ORD_00071,2023-02-02,BUYER_037,Cotton_Polyester_Blend,Woven,1941,7.51,14578.41,Shipped,25,29,56,45,Winter,2023,2,Q1
ORD_00072,2023-02-02,BUYER_041,Polyester_Satin,Woven,4611,6.03,27784.91,Completed,41,19,64,45,Summer,2023,2,Q1
ORD_00073,2023-02-03,BUYER_006,Polyester_Twill,Woven,5000,5.71,28566.79,Shipped,28,30,55,45,Spring,2023,2,Q1
ORD_00074,2023-02-03,BUYER_024,Terry_Cloth,Knit,2996,4.88,14618.3,Shipped,16,37,54,45,Summer,2023,2,Q1
ORD_00075,2023-02-04,BUYER_031,Cotton_Polyester_Blend,Woven,2504,7.31,18315.87,Completed,25,31,58,30,Summer,2023,2,Q1
ORD_00076,2023-02-04,BUYER_030,Cotton_Polyester_Blend,Woven,3959,7.62,30148.01,Completed,25,27,55,60,Autumn,2023,2,Q1
ORD_00077,2023-02-04,BUYER_011,Cotton_Denim,Woven,2617,10.05,26313.4,Completed,43,33,81,45,Summer,2023,2,Q1
ORD_00078,2023-02-06,BUYER_019,Cotton_Polyester_Blend,Woven,2262,7.13,16126.0,Completed,25,37,57,45,Autumn,2023,2,Q1
