Snapshot_Date,Fabric_Type,Category,Stock_Level_Kg,Unit_Cost_USD,Stock_Value_USD,Stock_Status,Year,Month,Quarter
2023-01-01,Cotton_Plain,Woven,9060,7.82,70849.2,Optimal,2023,1,Q1
2023-01-01,Cotton_Twill,Woven,9329,7.71,71926.59,Optimal,2023,1,Q1
2023-01-01,Cotton_Denim,Woven,5428,9.41,51077.48,Optimal,2023,1,Q1
2023-01-01,Polyester_Plain,Woven,11000,3.95,43450.0,Optimal,2023,1,Q1
2023-01-01,Polyester_Twill,Woven,7412,5.09,37727.08,Optimal,2023,1,Q1
2023-01-01,Polyester_Satin,Woven,10655,5.97,63610.35,Optimal,2023,1,Q1
2023-01-01,Cotton_Polyester_Blend,Woven,8264,7.39,61070.96,Optimal,2023,1,Q1
2023-01-01,Viscose_Rayon,Woven,5739,8.48,48666.72,Optimal,2023,1,Q1
2023-01-01,Linen,Woven,3234,12.49,40392.66,Low_Stock,2023,1,Q1
2023-01-01,Silk_Blend,Woven,3333,18.71,62360.43,Low_Stock,2023,1,Q1
2023-01-01,Terry_Cloth,Knit,6259,5.14,32171.26,Optimal,2023,1,Q1
2023-01-01,Fleece,Knit,4282,8.36,35797.52,Optimal,2023,1,Q1
2023-02-01,Cotton_Plain,Woven,9715,7.82,75971.3,Optimal,2023,2,Q1
2023-02-01,Cotton_Twill,Woven,14295,7.71,110214.45,Overstock,2023,2,Q1
2023-02-01,Cotton_Denim,Woven,4691,9.41,44142.31,Optimal,2023,2,Q1
2023-02-01,Polyester_Plain,Woven,6842,3.95,27025.9,Optimal,2023,2,Q1
2023-02-01,Polyester_Twill,Woven,7232,5.09,36810.88,Optimal,2023,2,Q1
2023-02-01,Polyester_Satin,Woven,9153,5.97,54643.41,Optimal,2023,2,Q1
2023-02-01,Cotton_Polyester_Blend,Woven,13618,7.39,100637.02,Overstock,2023,2,Q1
2023-02-01,Viscose_Rayon,Woven,3720,8.48,31545.6,Low_Stock,2023,2,Q1
2023-02-01,Linen,Woven,3664,12.49,45763.36,Low_Stock,2023,2,Q1
2023-02-01,Silk_Blend,Woven,3468,18.71,64886.28,Low_Stock,2023,2,Q1
2023-02-01,Terry_Cloth,Knit,7362,5.14,37840.68,Optimal,2023,2,Q1
2023-02-01,Fleece,Knit,5051,8.36,42226.36,Optimal,2023,2,Q1
2023-03-01,Cotton_Plain,Woven,13533,7.82,105828.06,Overstock,2023,3,Q1
2023-03-01,Cotton_Twill,Woven,12970,7.71,99998.7,Overstock,2023,3,Q1
2023-03-01,Cotton_Denim,Woven,3895,9.41,36651.95,Low_Stock,2023,3,Q1
2023-03-01,Polyester_Plain,Woven,14430,3.95,56998.5,Overstock,2023,3,Q1
2023-03-01,Polyester_Twill,Woven,8110,5.09,41279.9,Optimal,2023,3,Q1
2023-03-01,Polyester_Satin,Woven,12810,5.97,76475.7,Overstock,2023,3,Q1
2023-03-01,Cotton_Polyester_Blend,Woven,15187,7.39,112231.93,Overstock,2023,3,Q1
2023-03-01,Viscose_Rayon,Woven,4623,8.48,39203.04,Optimal,2023,3,Q1
2023-03-01,Linen,Woven,8079,12.49,100906.71,Optimal,2023,3,Q1
2023-03-01,Silk_Blend,Woven,3599,18.71,67337.29,Low_Stock,2023,3,Q1
2023-03-01,Terry_Cloth,Knit,7873,5.14,40467.22,Optimal,2023,3,Q1
2023-03-01,Fleece,Knit,10156,8.36,84904.16,Optimal,2023,3,Q1
2023-04-01,Cotton_Plain,Woven,11741,7.82,91814.62,Optimal,2023,4,Q2
2023-04-01,Cotton_Twill,Woven,12834,7.71,98950.14,Overstock,2023,4,Q2
2023-04-01,Cotton_Denim,Woven,4526,9.41,42589.66,Optimal,2023,4,Q2
2023-04-01,Polyester_Plain,Woven,7158,3.95,28274.1,Optimal,2023,4,Q2
2023-04-01,Polyester_Twill,Woven,8364,5.09,42572.76,Optimal,2023,4,Q2
2023-04-01,Polyester_Satin,Woven,7948,5.97,47449.56,Optimal,2023,4,Q2
2023-04-01,Cotton_Polyester_Blend,Woven,12961,7.39,95781.79,Overstock,2023,4,Q2
2023-04-01,Viscose_Rayon,Woven,5196,8.48,44062.08,Optimal,2023,4,Q2
2023-04-01,Linen,Woven,7940,12.49,99170.6,Optimal,2023,4,Q2
2023-04-01,Silk_Blend,Woven,4913,18.71,91922.23,Optimal,2023,4,Q2
2023-04-01,Terry_Cloth,Knit,7645,5.14,39295.3,Optimal,2023,4,Q2
2023-04-01,Fleece,Knit,4184,8.36,34978.24,Optimal,2023,4,Q2
2023-05-01,Cotton_Plain,Woven,12816,7.82,100221.12,Overstock,2023,5,Q2
2023-05-01,Cotton_Twill,Woven,9776,7.71,75372.96,Optimal,2023,5,Q2
2023-05-01,Cotton_Denim,Woven,6233,9.41,58652.53,Optimal,2023,5,Q2
2023-05-01,Polyester_Plain,Woven,13355,3.95,52752.25,Overstock,2023,5,Q2
2023-05-01,Polyester_Twill,Woven,13068,5.09,66516.12,Overstock,2023,5,Q2
2023-05-01,Polyester_Satin,Woven,9858,5.97,58852.26,Optimal,2023,5,Q2
2023-05-01,Cotton_Polyester_Blend,Woven,17027,7.39,125829.53,Overstock,2023,5,Q2
2023-05-01,Viscose_Rayon,Woven,5344,8.48,45317.12,Optimal,2023,5,Q2
2023-05-01,Linen,Woven,4383,12.49,54743.67,Optimal,2023,5,Q2
2023-05-01,Silk_Blend,Woven,5351,18.71,100117.21,Optimal,2023,5,Q2
2023-05-01,Terry_Cloth,Knit,3941,5.14,20256.74,Low_Stock,2023,5,Q2
2023-05-01,Fleece,Knit,4263,8.36,35638.68,Optimal,2023,5,Q2
2023-06-01,Cotton_Plain,Woven,10366,7.82,81062.12,Optimal,2023,6,Q2
2023-06-01,Cotton_Twill,Woven,7450,7.71,57439.5,Optimal,2023,6,Q2
2023-06-01,Cotton_Denim,Woven,5066,9.41,47671.06,Optimal,2023,6,Q2
2023-06-01,Polyester_Plain,Woven,8703,3.95,34376.85,Optimal,2023,6,Q2
2023-06-01,Polyester_Twill,Woven,6220,5.09,31659.8,Optimal,2023,6,Q2
2023-06-01,Polyester_Satin,Woven,8070,5.97,48177.9,Optimal,2023,6,Q2
2023-06-01,Cotton_Polyester_Blend,Woven,10243,7.39,75695.77,Optimal,2023,6,Q2
2023-06-01,Viscose_Rayon,Woven,4782,8.48,40551.36,Optimal,2023,6,Q2
2023-06-01,Linen,Woven,3933,12.49,49123.17,Low_Stock,2023,6,Q2
2023-06-01,Silk_Blend,Woven,5713,18.71,106890.23,Optimal,2023,6,Q2
2023-06-01,Terry_Cloth,Knit,2576,5.14,13240.64,Low_Stock,2023,6,Q2
2023-06-01,Fleece,Knit,3496,8.36,29226.56,Low_Stock,2023,6,Q2
2023-07-01,Cotton_Plain,Woven,7576,7.82,59244.32,Optimal,2023,7,Q3
2023-07-01,Cotton_Twill,Woven,10438,7.71,80476.98,Optimal,2023,7,Q3
2023-07-01,Cotton_Denim,Woven,3088,9.41,29058.08,Low_Stock,2023,7,Q3
2023-07-01,Polyester_Plain,Woven,7015,3.95,27709.25,Optimal,2023,7,Q3
2023-07-01,Polyester_Twill,Woven,5871,5.09,29883.39,Optimal,2023,7,Q3
2023-07-01,Polyester_Satin,Woven,6502,5.97,38816.94,Optimal,2023,7,Q3
2023-07-01,Cotton_Polyester_Blend,Woven,7501,7.39,55432.39,Optimal,2023,7,Q3
2023-07-01,Viscose_Rayon,Woven,5522,8.48,46826.56,Optimal,2023,7,Q3
2023-07-01,Linen,Woven,4931,12.49,61588.19,Optimal,2023,7,Q3
2023-07-01,Silk_Blend,Woven,6816,18.71,127527.36,Optimal,2023,7,Q3
2023-07-01,Terry_Cloth,Knit,5276,5.14,27118.64,Optimal,2023,7,Q3
2023-07-01,Fleece,Knit,5229,8.36,43714.44,Optimal,2023,7,Q3
2023-08-01,Cotton_Plain,Woven,8589,7.82,67165.98,Optimal,2023,8,Q3
2023-08-01,Cotton_Twill,Woven,8783,7.71,67716.93,Optimal,2023,8,Q3
2023-08-01,Cotton_Denim,Woven,2838,9.41,26705.58,Low_Stock,2023,8,Q3
2023-08-01,Polyester_Plain,Woven,9390,3.95,37090.5,Optimal,2023,8,Q3
2023-08-01,Polyester_Twill,Woven,10319,5.09,52523.71,Optimal,2023,8,Q3
2023-08-01,Polyester_Satin,Woven,8171,5.97,48780.87,Optimal,2023,8,Q3
2023-08-01,Cotton_Polyester_Blend,Woven,8769,7.39,64802.91,Optimal,2023,8,Q3
2023-08-01,Viscose_Rayon,Woven,5339,8.48,45274.72,Optimal,2023,8,Q3
2023-08-01,Linen,Woven,2840,12.49,35471.6,Low_Stock,2023,8,Q3
2023-08-01,Silk_Blend,Woven,2378,18.71,44492.38,Low_Stock,2023,8,Q3
2023-08-01,Terry_Cloth,Knit,3151,5.14,16196.14,Low_Stock,2023,8,Q3
2023-08-01,Fleece,Knit,4828,8.36,40362.08,Optimal,2023,8,Q3
2023-09-01,Cotton_Plain,Woven,8673,7.82,67822.86,Optimal,2023,9,Q3
2023-09-01,Cotton_Twill,Woven,13751,7.71,106020.21,Overstock,2023,9,Q3
2023-09-01,Cotton_Denim,Woven,4631,9.41,43577.71,Optimal,2023,9,Q3
2023-09-01,Polyester_Plain,Woven,7263,3.95,28688.85,Optimal,2023,9,Q3
2023-09-01,Polyester_Twill,Woven,8530,5.09,43417.7,Optimal,2023,9,Q3
2023-09-01,Polyester_Satin,Woven,6655,5.97,39730.35,Optimal,2023,9,Q3
2023-09-01,Cotton_Polyester_Blend,Woven,12783,7.39,94466.37,Overstock,2023,9,Q3
2023-09-01,Viscose_Rayon,Woven,5450,8.48,46216.0,Optimal,2023,9,Q3
2023-09-01,Linen,Woven,4597,12.49,57416.53,Optimal,2023,9,Q3
2023-09-01,Silk_Blend,Woven,7815,18.71,146218.65,Optimal,2023,9,Q3
2023-09-01,Terry_Cloth,Knit,3599,5.14,18498.86,Low_Stock,2023,9,Q3
